id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag
1476959058951225346,619030243.0,@FOOD_FESS ini abis makan seblak nder mana kekenyangan jdi g bisa tidur 😭,2021-12-31T16:50:54.000Z,1446043659313451014,0,0,0,0,1.4769582316624568e+18,replied_to,0.0,10.0,FOOD_FESS,619030243.0,,,,,,,,,,,,,,,
1476956680067846144,1.0438207785195808e+18,"@JeromePolin Tahun baruan sambil makan seblak kuy
https://t.co/6CpL3TloMi https://t.co/uY0Fo08JUd",2021-12-31T16:41:27.000Z,777453089007603712,0,0,0,0,1.476955779747881e+18,replied_to,0.0,12.0,JeromePolin,1.0438207785195808e+18,74.0,97.0,https://t.co/uY0Fo08JUd,https://twitter.com/jerukkmanise/status/1476956680067846144/photo/1,pic.twitter.com/uY0Fo08JUd,https://pbs.twimg.com/news_img/1476956691392389120/RBg50rcW?format=jpg&name=150x150,150.0,150.0,200.0,Jual (PROMO DORAME) SEBLAK 150GR KEMASAN BOX Kerupuk / Keripik Indonesia|Shopee Indonesia,Beli (PROMO DORAME) SEBLAK 150GR KEMASAN BOX Kerupuk / Keripik Terbaru di Shopee. Gratis Ongkir 🚚 COD 📦,https://shopee.co.id/product/311568131/6779091292?af_click_lookback=7d&af_reengagement_window=7d&af_siteid=an_11391200088&af_sub_siteid=product&af_viewthrough_lookback=1d&c=-&d_id=1e604&is_retargeting=true&pid=affiliates&smtt=0.123979120-1640968834.9&utm_campaign=-&utm_content=product&utm_medium=affiliates&utm_source=an_11391200088,,,
1476956321274425345,,kayak ngajak makan seblak https://t.co/tJgx7G942K,2021-12-31T16:40:02.000Z,1039018689729679361,0,1,0,0,1.4769562368179896e+18,quoted,,,,,26.0,49.0,https://t.co/tJgx7G942K,https://twitter.com/georjicrghtn/status/1476956236817989633,twitter.com/georjicrghtn/s…,,,,,,,,,,
1476953986473226244,,G bsa tidur karna perut panas abis makan seblak wkwkwk,2021-12-31T16:30:45.000Z,1401482734137090048,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1476950467749953541,,"Yang malam tahun barunya makan mie, kerupuk seblak, minum susu melon dan nonton Encanto itu adalah saya.",2021-12-31T16:16:46.000Z,1078698083230203905,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1476950066392801282,,makan seblak enak nih kayaknya,2021-12-31T16:15:10.000Z,1354285591182024707,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1476949493681729536,,Akhirnya makan seblak juga tadi😭,2021-12-31T16:12:54.000Z,1092650298,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1476949167461175303,,Kalo ga gini gaakan berenti makan seblak sama gacoan https://t.co/zHTS6fEfFv,2021-12-31T16:11:36.000Z,1277810041454641153,0,0,0,0,,,,,,,53.0,76.0,https://t.co/zHTS6fEfFv,https://twitter.com/uswakha__/status/1476949167461175303/photo/1,pic.twitter.com/zHTS6fEfFv,,,,,,,,,,
1476948889898938370,1.271439514460754e+18,@treasuremenfess lagi kepedesan soalnya abis makan seblak 😭😭😭,2021-12-31T16:10:30.000Z,1138996566142771201,0,0,0,0,1.4769362164822508e+18,replied_to,0.0,16.0,treasuremenfess,1.271439514460754e+18,,,,,,,,,,,,,,,
1476948381016596483,,"kata riska kali-kali makan yang lain kek, jangan seblak sama mie ayam mulu. https://t.co/luwhOwLo5S",2021-12-31T16:08:29.000Z,843033240139063297,0,0,0,0,,,,,,,76.0,99.0,https://t.co/luwhOwLo5S,https://twitter.com/delaparan/status/1476948381016596483/photo/1,pic.twitter.com/luwhOwLo5S,,,,,,,,,,
