id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url,entities/cashtags/0/entities/start,entities/cashtags/0/entities/end,entities/cashtags/0/entities/tag
1476956077006622721,,"""Di dunia ini hanya ada 2 jenis orang, yaitu yg mempunyai kekuatan untuk menguasai dan yg dikuasai."" (Jinsuke ~ gamaran)",2021-12-31T16:39:03.000Z,1627461912,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1476941898950447104,,anime akan menguasai dunia https://t.co/Q9RqurZknm,2021-12-31T15:42:43.000Z,1359918565705408514,0,0,0,0,1.4769248612681196e+18,quoted,27.0,50.0,https://t.co/Q9RqurZknm,https://twitter.com/animefess_/status/1476924861268119556,twitter.com/animefess_/sta…,,,,,,,,,,,,,,,,,
1476941201504804867,1.0576046449966735e+18,"@OceanRemnant Sabar ya, cing 🐈 akan ada waktu dimana kucing akan menguasai dunia lagi",2021-12-31T15:39:57.000Z,1271030834565279744,0,1,1,0,1.4769410304191406e+18,replied_to,,,,,,0.0,13.0,OceanRemnant,1.0576046449966735e+18,,,,,,,,,,,,,
1476938594086309895,,"Gelap 
begitu yang dunia rasakan/ ketika takbir jahiliyyah menguasai lapis demi lapis kehidupan.

Narasi dari Mursyida mengawali acara 
#IndonesiaBangkitBersamaAlQuran

Live Report 
31 Desember 2021
Jakarta AQL Islamic Center https://t.co/2b4CSGeWAu",2021-12-31T15:29:35.000Z,132020500,1,0,2,0,,,226.0,249.0,https://t.co/2b4CSGeWAu,https://twitter.com/AQLIslamiCenter/status/1476938594086309895/photo/1,pic.twitter.com/2b4CSGeWAu,,,,,136.0,167.0,IndonesiaBangkitBersamaAlQuran,,,,,,,,,,
1476931978804957199,,"Siapa yang nanya mulu kemarin treasure kapan comeback. Nih liat, bangun all TREASURE akan kembali menguasai dunia. https://t.co/XewWBEdbtB",2021-12-31T15:03:18.000Z,782818397616680960,0,2,0,0,1.4769311967476165e+18,quoted,115.0,138.0,https://t.co/XewWBEdbtB,https://twitter.com/ygent_official/status/1476931196747616278,twitter.com/ygent_official…,,,,,,,,,,,,,,,,,
1476931398422646787,1466911555.0,"@lovengeance Sihir djjal hmpir menguasai penddk dunia, kcli bgi yg pnya akal budi &amp; hati yg brsih, bgtu terhpnotis ny sm sihir Dajjal..... smpi2 di zholim i tpi ngg mrsa di zholim i, jdi bdak  dajjal tpi ngga mrsa diprbudak, bhkn dg snang hati mnyerahkan dri jd tumbal nya",2021-12-31T15:01:00.000Z,1344297588942467072,1,1,6,0,1.4768698085870346e+18,replied_to,,,,,,0.0,12.0,lovengeance,1466911555.0,,,,,,,,,,,,,
1476926999570518017,1.1899600861704356e+18,"@TofaTofa_id halaah,penjelasanya mbulet ,ngajak ke spirit nusantara tp yg dibikin g ada gambaran nusantaranya,bahkan namanya dah jls ada jalur suteranya,projek ambisi cina tuk menguasai dunia...mending kl yg mau kenusantaraan kan bs garuda,cendrawasih,gamelan traditional,rumah adat dll,caper",2021-12-31T14:43:31.000Z,947782642463752193,0,0,4,0,1.4768888862949704e+18,replied_to,,,,,,0.0,12.0,TofaTofa_id,1.1899600861704356e+18,,,,,,,,,,,,,
1476926062646886404,496968406.0,@stafsuscolonial iya sejarah versi dunia malah menunjukan Sriwijaya yang menguasai Indonesia bagian barat termasuk pulau Jawa kecuali Madura dan Bali sebab Kerajaan Pasundan dan Galuh sama sama Wangsa Syailendra,2021-12-31T14:39:47.000Z,439657499,3,2,5,0,1.476916133156438e+18,replied_to,,,,,,0.0,16.0,stafsuscolonial,496968406.0,,,,,,,,,,,,,
1476925163534905347,1430852947.0,"@Budisetiawawan1 @teh_tjemplung Menurut saya Bangsa2 yg menguasai sepak bola Dunia bukan dari Bangsa2 yg berpenduduk besar scr Kuantitas spt China, Rusia, India, Amerika &amp; Indonesia, tetapi justru lebih banyak oleh Bangsa2 berpenduduk kecil seperti Jerman, Italy, Inggris, Belanda, Jepang, Korea.",2021-12-31T14:36:13.000Z,1328875101366804482,0,1,1,0,1.476866506017284e+18,replied_to,,,,,,17.0,31.0,teh_tjemplung,2431659727.0,,,,,,,,,,,,,
1476924180285181953,,lumba lumba tuh pinterrrrr tapi knp mereka gak menguasai dunia,2021-12-31T14:32:19.000Z,1465144732414218241,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,
1476913880366419971,,"Wah, Lintas universitas😭 emang ya SuperTuna effect udah menyebar kemana2 menguasai dunia😭🔥 https://t.co/LMkRQtPh5X",2021-12-31T13:51:23.000Z,1892041410,0,0,0,0,1.4768850600243528e+18,quoted,91.0,114.0,https://t.co/LMkRQtPh5X,https://twitter.com/seokjin_india_/status/1476885060024352771,twitter.com/seokjin_india_…,,,,,,,,,,,,,,,,,
1476911260348284929,,"Kehancuran dunia sebenar adalah sifat rakusnya manusia ingin memiliki dan menguasai.

Maka tercetuslah hari kiamat ...",2021-12-31T13:40:58.000Z,1091048577940389889,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1476908518162661378,1.2678830674036777e+18,@riujzin Iyh betul sekali aku ingin menguasai dunia biar harga telor trunn 😢,2021-12-31T13:30:05.000Z,1393182910564356096,0,1,0,0,1.476803726186668e+18,replied_to,,,,,,0.0,8.0,riujzin,1.2678830674036777e+18,,,,,,,,,,,,,
1476891469671968771,,"mungkin dengan UANG anda bisa menguasai dunia, tapi dengan ILMU anda  bisa mengubah dunia",2021-12-31T12:22:20.000Z,591400877,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1476891348661796866,,anjai aras menguasai dunia https://t.co/AEov56Ed09,2021-12-31T12:21:51.000Z,938421932931743745,0,0,0,0,1.476890570597417e+18,quoted,27.0,50.0,https://t.co/AEov56Ed09,https://twitter.com/Heesgenu/status/1476890570597416960,twitter.com/Heesgenu/statu…,,,,,,,,,,,,,,,,,
