,id,teks
0,1506214097439760385,"@nadamiring @devanavedraza @Joyvina7 @SangGuru2471 @eden_jakarta @Nawangw1999 @AAlfaroqi2 @geloraco Saya sih sudah googling. Yang ada malah TDL naik, BBM naik, pajak naik, minyak goreng naik, gula naik, bawang naik, cabe naik, pengangguran meningkat, hutang meningkat pesat, bagi2 jabatan, beras &amp; garam impor. Saya jadi bingung sudah bikin apa jokowi buat kesejahteraan rakyat."
1,1506214100040404994,"Rachmat Gobel menyatakan tak ada mafia minyak goreng, adanya pengusaha yang mencari celah untuk mendapatkan keuntungan.

https://t.co/xpvjA6wODM"
2,1506214099889258501,RT @InfoSPKS: Serikat Petani Kelapa Sawit (SPKS) menilai keputusan pemerintah dalam mengatasi masalah kelangkaan minyak goreng telah mengor…
3,1506214144013348865,"@rdi971 #NGASO
aku paling males goreng ikan tongkol, goreng cumi², goreng cimol, goreng otak² juga dan aku akan mencoba untuk di rebus/ dikukus atw dengan menu baru yaitu di buat rujak 😂😂😂"
4,1506214201802788864,RT @QaillaAsyiqah: Aksi Aliansi Mahasiswa se-Provinsi Jambi di kantor Gubernur Jambi | Dengan tuntutan Turunkan Harga Bahan Pokok &amp; Minyak…
5,1506216088476200960,"RT @dianasayangku: Selain minyak goreng, yang stoknya harus selalu ada di rumahku adalah Minyak Kutus-Kutus. Mau restock ah, ikutan yuk. Op…"
6,1506216111515537409,😭😭😭 https://t.co/9YqL5I64oI
7,1506216121820925958,RT @Onl1Jb: Konglomerat Minyak Goreng https://t.co/3fNiAV4lXD
8,1506216135590834181,RT @QaillaAsyiqah: Aksi Aliansi Mahasiswa se-Provinsi Jambi di kantor Gubernur Jambi | Dengan tuntutan Turunkan Harga Bahan Pokok &amp; Minyak…
9,1506216157681909760,"Presiden Joko Widodo Cabut Subsidi Minyak Goreng, Ini Kata KSP
https://t.co/GQ1QKUVICL"
10,1506216162295570437,"RT @QaillaAsyiqah: Lawan Oligarki ~ Aksi Komite Rakyat, Komponen Mahasiswa, Pelajar &amp; Emak².. (Jakarta 22/Mart/2022)

Turunkan Harga Pokok…"
