,id,text
0,1.5062079087442084e+18,RT @gadisssmelayu: ilang nya harga diri laki-laki ketika dia minta duit ke cewe.
1,1.5062079024737444e+18,"RT @Daks2022: Jackpot sa laki 😍😘 

Pangarap mo noon, subo subo kona ngayon 😋 Worth the wait naman talaga ❤️

Follow me and Retweet to get D…"
2,1.5062078884818534e+18,"ang laki nga ng cabinet ko, dami ko pa rin gamit nakakalat😡😡😡"
3,1.506207883565826e+18,"RT @agniasambara: Suka banget sama manga ini, diceritakan dari sudut pandang seorang ibu heteroseksual yang salah satu anak laki-lakinya ia…"
4,1.5062078792372347e+18,@bumbeetbum @aisyahchivchiew Oh ye ke. Aku minum sedap je. Rasa lega tekak. Laki aku minum kelapa lemon. Pun lega. Maybe lain org lain kot.
5,1.5062078786923684e+18,"RT @Mini0nnn02: BALIKO at ang LAKI ng TITI! He's into Her star paps Sean T. (New &amp; rare copy is now out!)

Legit na JABULERO pala si Tiktok…"
6,1.5062078778699325e+18,"RT @agniasambara: Suka banget sama manga ini, diceritakan dari sudut pandang seorang ibu heteroseksual yang salah satu anak laki-lakinya ia…"
7,1.5062078768927007e+18,RT @AlterDaddy2022: Ang Laki subra 😊💦 https://t.co/rRi8I11Zxk
8,1.5062078489208054e+18,RT @gadisssmelayu: ilang nya harga diri laki-laki ketika dia minta duit ke cewe.
9,1.5062078265319834e+18,RT @gadisssmelayu: ilang nya harga diri laki-laki ketika dia minta duit ke cewe.
